phase,sample,wall_ms,game_ms,render_ms,draw_calls,primitives,process_bytes,world_actors,compound_actors,instances,batches
empty,72,5.0836,1.4577,5.1691,161,831061,4499664896,64,0,0,0
empty,73,5.5368,1.4307,5.6137,188,1188561,4499664896,64,0,0,0
empty,74,6.2709,1.5519,6.0778,161,831061,4499664896,64,0,0,0
empty,75,5.3648,1.4315,5.5318,161,831061,4499664896,64,0,0,0
empty,76,5.7116,1.4397,5.6912,188,1188545,4499664896,64,0,0,0
empty,77,5.6548,1.3256,5.6756,161,831061,4499664896,64,0,0,0
empty,78,5.8169,1.4910,5.6535,162,831073,4499664896,64,0,0,0
empty,79,5.2583,1.3675,5.4765,161,831061,4499664896,64,0,0,0
empty,80,6.3365,1.5735,5.9760,188,1188561,4499664896,64,0,0,0
empty,81,5.8825,1.6172,5.9881,161,831061,4499664896,64,0,0,0
empty,82,5.1083,1.3519,5.3337,161,831061,4499664896,64,0,0,0
empty,83,5.8501,1.5166,5.6191,189,1188557,4499664896,64,0,0,0
empty,84,5.5567,1.4463,5.6684,161,831061,4499664896,64,0,0,0
empty,85,5.6337,1.3723,5.6374,161,831061,4499664896,64,0,0,0
empty,86,5.7490,1.4792,5.6753,162,831073,4499664896,64,0,0,0
empty,87,5.3942,1.3893,5.4351,188,1188561,4499664896,64,0,0,0
empty,88,6.0347,1.5882,5.8573,161,831061,4499664896,64,0,0,0
empty,89,5.6489,1.5332,5.7182,161,831061,4499664896,64,0,0,0
empty,90,6.0352,1.4350,6.1423,188,1188545,4499664896,64,0,0,0
empty,91,5.7704,1.3899,5.8211,161,831061,4499668992,64,0,0,0
empty,92,5.2471,1.5695,4.9255,161,831061,4499668992,64,0,0,0
empty,93,5.3906,1.4972,5.6015,161,831061,4499668992,64,0,0,0
empty,94,6.8967,1.4508,6.6020,188,1188561,4499668992,64,0,0,0
empty,95,4.5926,1.7341,4.9996,161,831061,4499668992,64,0,0,0
empty,96,6.5678,1.5611,6.1784,161,831061,4499668992,64,0,0,0
empty,97,5.3454,1.4336,5.6609,188,1188545,4499668992,64,0,0,0
empty,98,5.9382,1.6248,5.7073,161,831061,4499668992,64,0,0,0
empty,99,5.6861,1.4441,5.7877,161,831061,4499668992,64,0,0,0
empty,100,5.4897,1.4911,5.6055,162,831073,4499668992,64,0,0,0
empty,101,5.4723,1.2907,5.5268,188,1188561,4499668992,64,0,0,0
empty,102,6.1388,1.4853,5.8979,161,831061,4499668992,64,0,0,0
empty,103,5.3686,1.5050,5.5040,161,831061,4499668992,64,0,0,0
empty,104,5.7057,1.3841,5.7151,189,1188557,4499668992,64,0,0,0
empty,105,5.8868,1.5180,5.7165,162,831073,4499668992,64,0,0,0
empty,106,5.7347,1.4936,5.8806,161,831061,4499668992,64,0,0,0
empty,107,5.5831,1.3959,5.4541,162,831073,4499668992,64,0,0,0
empty,108,5.6239,1.5509,5.7130,188,1188561,4499668992,64,0,0,0
empty,109,5.6698,1.4715,5.6664,161,831061,4499668992,64,0,0,0
empty,110,5.5638,1.4075,5.5537,161,831061,4499668992,64,0,0,0
empty,111,5.7598,1.4536,5.7137,188,1188545,4499668992,64,0,0,0
empty,112,6.0324,1.3771,6.1989,161,831061,4499668992,64,0,0,0
empty,113,5.2048,1.4266,5.0152,161,831061,4499668992,64,0,0,0
empty,114,5.8803,1.4577,5.8801,161,831061,4499668992,64,0,0,0
empty,115,6.5044,1.5511,6.4630,188,1188561,4499668992,64,0,0,0
empty,116,5.2776,1.5626,5.2641,162,831073,4499668992,64,0,0,0
empty,117,5.5799,1.3772,5.7058,161,831061,4499668992,64,0,0,0
empty,118,5.7854,1.4326,5.7798,188,1188545,4499668992,64,0,0,0
empty,119,5.8787,1.4149,5.8581,161,831061,4499668992,64,0,0,0
empty,120,5.4220,1.3991,5.3898,161,831061,4499668992,64,0,0,0
empty,121,5.7225,1.5831,5.5010,161,831061,4499668992,64,0,0,0
empty,122,6.5054,1.4761,6.3842,188,1188561,4499668992,64,0,0,0
empty,123,5.1547,1.5666,5.3685,161,831061,4499668992,64,0,0,0
empty,124,6.2008,1.4117,6.2957,161,831061,4499677184,64,0,0,0
empty,125,5.2021,1.5028,5.1296,189,1188557,4499677184,64,0,0,0
empty,126,6.0323,1.3524,6.1291,162,831073,4499677184,64,0,0,0
empty,127,5.1186,1.4603,5.0604,161,831061,4499677184,64,0,0,0
empty,128,5.4223,1.4064,5.4127,161,831061,4499677184,64,0,0,0
empty,129,5.8230,1.4810,5.6671,188,1188561,4499677184,64,0,0,0
empty,130,5.7459,1.5232,5.9073,161,831061,4499677184,64,0,0,0
empty,131,6.5093,1.3936,6.5285,161,831061,4499677184,64,0,0,0
empty,132,5.3530,1.4939,5.2536,189,1188557,4499677184,64,0,0,0
empty,133,6.1134,1.3750,6.2861,162,831073,4499677184,64,0,0,0
empty,134,5.3954,1.4867,5.1220,161,831061,4499677184,64,0,0,0
empty,135,5.3439,1.5154,5.4564,161,831061,4499677184,64,0,0,0
empty,136,5.7772,1.5110,5.7400,189,1188573,4499677184,64,0,0,0
empty,137,5.5156,1.3360,5.5751,161,831061,4499677184,64,0,0,0
empty,138,5.7805,1.5182,5.7522,162,831073,4499677184,64,0,0,0
empty,139,6.1325,1.6792,5.9666,188,1188545,4499677184,64,0,0,0
empty,140,5.7003,1.4453,5.8920,161,831061,4499677184,64,0,0,0
empty,141,5.6294,1.3941,5.6555,161,831061,4499677184,64,0,0,0
empty,142,5.4841,1.3442,5.5435,161,831061,4499677184,64,0,0,0
empty,143,6.1062,1.4895,5.8289,188,1188561,4499677184,64,0,0,0
empty,144,5.6723,1.5941,5.6606,161,831061,4499677184,64,0,0,0
empty,145,5.5467,1.6031,5.5424,161,831061,4499677184,64,0,0,0
empty,146,6.8600,1.6216,6.7857,188,1188545,4499677184,64,0,0,0
empty,147,4.6139,1.6368,4.8204,161,831061,4499677184,64,0,0,0
empty,148,5.6942,1.5398,5.5260,161,831061,4499677184,64,0,0,0
empty,149,5.8977,1.6177,5.9197,161,831061,4499677184,64,0,0,0
empty,150,6.0982,1.4680,6.2168,188,1188561,4499677184,64,0,0,0
empty,151,5.3176,1.5365,5.2616,161,831061,4499677184,64,0,0,0
empty,152,6.0338,1.3715,6.2168,161,831061,4499677184,64,0,0,0
empty,153,5.2322,1.4249,5.1403,188,1188545,4499677184,64,0,0,0
empty,154,6.2579,1.5031,6.1153,161,831061,4499677184,64,0,0,0
empty,155,5.7150,1.4802,5.7455,161,831061,4499681280,64,0,0,0
empty,156,5.4271,1.4676,5.4297,161,831061,4499681280,64,0,0,0
empty,157,6.6470,1.6114,6.5999,189,1188573,4499681280,64,0,0,0
empty,158,4.9813,1.4813,4.9529,161,831061,4499681280,64,0,0,0
empty,159,5.4010,1.5606,5.4006,161,831061,4499681280,64,0,0,0
empty,160,5.4957,1.4862,5.5921,188,1188545,4499681280,64,0,0,0
empty,161,5.6315,1.4434,5.5619,161,831061,4499681280,64,0,0,0
empty,162,6.1350,1.4957,5.8364,162,831073,4499681280,64,0,0,0
empty,163,5.5261,1.7429,5.9409,162,831073,4499681280,64,0,0,0
empty,164,6.2569,1.4958,5.9471,188,1188561,4499681280,64,0,0,0
empty,165,6.1921,1.6160,6.3106,161,831061,4499681280,64,0,0,0
empty,166,5.3828,1.4082,5.5211,162,831073,4499681280,64,0,0,0
empty,167,5.2883,1.5092,5.1704,188,1188545,4499681280,64,0,0,0
empty,168,5.4575,1.4427,5.5096,161,831061,4499681280,64,0,0,0
empty,169,5.7262,1.5335,5.6711,161,831061,4499681280,64,0,0,0
empty,170,5.8612,1.5480,5.8156,161,831061,4499681280,64,0,0,0
empty,171,6.0407,1.4459,6.0400,188,1188561,4499681280,64,0,0,0
empty,172,5.8695,1.6090,5.9579,161,831061,4499681280,64,0,0,0
empty,173,5.5456,1.4158,5.5209,162,831073,4499681280,64,0,0,0
empty,174,5.5526,1.3994,5.6153,188,1188545,4499681280,64,0,0,0
empty,175,5.6564,1.3715,5.7013,161,831061,4499681280,64,0,0,0
empty,176,6.7785,1.3741,6.6988,161,831061,4499681280,64,0,0,0
empty,177,4.9639,1.3945,4.9707,161,831061,4499681280,64,0,0,0
empty,178,5.3683,1.4200,5.3877,190,1188585,4499681280,64,0,0,0
empty,179,6.0715,1.5061,5.9230,161,831061,4499681280,64,0,0,0
empty,180,5.7585,1.3858,5.8586,162,831073,4499681280,64,0,0,0
32_preview_compounds,1,7.7633,1.4357,7.7123,2500,833449,4611723264,96,32,721,208
32_preview_compounds,2,6.2041,1.6516,6.0127,2527,1190933,4611723264,96,32,721,208
32_preview_compounds,3,8.2557,1.6069,8.1759,2501,833461,4611723264,96,32,721,208
32_preview_compounds,4,6.4025,1.8934,6.5788,2500,833449,4611723264,96,32,721,208
32_preview_compounds,5,7.3340,1.6319,7.2071,2500,833449,4611723264,96,32,721,208
32_preview_compounds,6,6.8600,1.7377,6.8325,2527,1190949,4611723264,96,32,721,208
32_preview_compounds,7,6.0939,1.7522,6.1359,2500,833449,4611727360,96,32,721,208
32_preview_compounds,8,7.9282,1.6019,8.0345,2500,833449,4611727360,96,32,721,208
32_preview_compounds,9,5.9303,1.7131,5.8968,2527,1190933,4611727360,96,32,721,208
32_preview_compounds,10,6.9812,1.4448,7.1115,2500,833449,4611727360,96,32,721,208
32_preview_compounds,11,7.2847,1.5419,7.0661,2500,833449,4611727360,96,32,721,208
32_preview_compounds,12,8.1938,1.6464,7.6777,2528,1190961,4611727360,96,32,721,208
32_preview_compounds,13,5.1498,2.2023,5.8871,2528,1190961,4611727360,96,32,721,208
32_preview_compounds,14,6.8482,1.4699,6.7862,2500,833449,4611727360,96,32,721,208
32_preview_compounds,15,7.0133,1.6237,6.9445,2500,833449,4611727360,96,32,721,208
32_preview_compounds,16,8.1547,1.6452,7.7905,2527,1190933,4611727360,96,32,721,208
32_preview_compounds,17,6.1145,1.9352,6.4019,2500,833449,4611735552,96,32,721,208
32_preview_compounds,18,7.2608,1.7440,6.7988,2500,833449,4611739648,96,32,721,208
32_preview_compounds,19,7.3818,1.9124,7.8100,2501,833461,4611743744,96,32,721,208
32_preview_compounds,20,6.9188,1.7038,6.9309,2528,1190961,4611743744,96,32,721,208
32_preview_compounds,21,5.8733,1.5421,6.0364,2500,833449,4611747840,96,32,721,208
32_preview_compounds,22,6.7772,1.5040,6.6655,2501,833461,4611756032,96,32,721,208
32_preview_compounds,23,7.2728,1.6335,7.1645,2528,1190945,4611756032,96,32,721,208
32_preview_compounds,24,7.3251,1.6130,7.1916,2500,833449,4611756032,96,32,721,208
32_preview_compounds,25,6.5993,1.9972,6.5477,2500,833449,4611756032,96,32,721,208
32_preview_compounds,26,7.5373,1.6466,7.8610,2501,833461,4611756032,96,32,721,208
32_preview_compounds,27,6.3715,1.7081,6.1578,2528,1190961,4611760128,96,32,721,208
32_preview_compounds,28,8.3772,1.5990,7.8605,2501,833461,4611760128,96,32,721,208
32_preview_compounds,29,5.2628,2.3438,5.7661,2501,833461,4611760128,96,32,721,208
32_preview_compounds,30,7.1158,1.6701,7.3385,2527,1190933,4611760128,96,32,721,208
32_preview_compounds,31,7.3213,1.7008,6.9693,2501,833461,4611760128,96,32,721,208
32_preview_compounds,32,6.8214,1.8679,6.9099,2500,833449,4611760128,96,32,721,208
32_preview_compounds,33,6.3705,1.6000,6.5436,2501,833461,4611760128,96,32,721,208
32_preview_compounds,34,8.2637,1.5860,8.1106,2527,1190949,4611760128,96,32,721,208
32_preview_compounds,35,5.8961,1.9443,5.8079,2501,833461,4611760128,96,32,721,208
32_preview_compounds,36,8.1304,1.5877,8.0988,2500,833449,4611760128,96,32,721,208
32_preview_compounds,37,5.2320,1.7598,5.6058,2527,1190933,4611760128,96,32,721,208
32_preview_compounds,38,8.4083,1.4805,8.3117,2501,833461,4611760128,96,32,721,208
32_preview_compounds,39,7.0125,1.6076,6.8836,2500,833449,4611760128,96,32,721,208
32_preview_compounds,40,6.0813,1.6148,6.1383,2500,833449,4611760128,96,32,721,208
32_preview_compounds,41,6.4599,1.7383,6.3821,2527,1190949,4611760128,96,32,721,208
32_preview_compounds,42,7.1497,1.6574,7.1800,2500,833449,4611760128,96,32,721,208
32_preview_compounds,43,6.6736,1.5998,6.7040,2500,833449,4611760128,96,32,721,208
32_preview_compounds,44,7.4261,1.8177,7.2515,2527,1190933,4611760128,96,32,721,208
32_preview_compounds,45,6.7681,1.6415,6.8868,2500,833449,4611760128,96,32,721,208
32_preview_compounds,46,6.7696,1.5633,6.8039,2500,833449,4611760128,96,32,721,208
32_preview_compounds,47,7.0083,1.5813,7.0191,2500,833449,4611760128,96,32,721,208
32_preview_compounds,48,6.4846,1.5618,6.5858,2527,1190949,4611760128,96,32,721,208
32_preview_compounds,49,7.1922,1.5283,7.0511,2501,833461,4611768320,96,32,721,208
32_preview_compounds,50,8.0179,1.6928,8.0291,2500,833449,4611768320,96,32,721,208
32_preview_compounds,51,6.8655,1.5717,6.9039,2527,1190933,4611768320,96,32,721,208
32_preview_compounds,52,5.7242,1.6577,5.6096,2500,833449,4611768320,96,32,721,208
32_preview_compounds,53,6.9154,1.7317,6.8890,2501,833461,4611768320,96,32,721,208
32_preview_compounds,54,6.6964,1.5355,6.8810,2500,833449,4611768320,96,32,721,208
32_preview_compounds,55,7.3550,1.6296,7.2144,2528,1190961,4611768320,96,32,721,208
32_preview_compounds,56,6.6538,1.6210,6.6816,2501,833461,4611768320,96,32,721,208
32_preview_compounds,57,6.8360,1.4538,6.9808,2500,833449,4611768320,96,32,721,208
32_preview_compounds,58,7.1904,1.6375,6.9865,2527,1190933,4611768320,96,32,721,208
32_preview_compounds,59,6.7681,1.5672,6.8019,2500,833449,4611768320,96,32,721,208
32_preview_compounds,60,8.0097,1.6564,8.0452,2500,833449,4611768320,96,32,721,208
32_preview_compounds,61,6.9288,1.6402,6.7343,2500,833449,4611768320,96,32,721,208
32_preview_compounds,62,5.7870,1.7462,5.9104,2527,1190949,4611768320,96,32,721,208
32_preview_compounds,63,7.0123,1.6243,7.0712,2500,833449,4611768320,96,32,721,208
32_preview_compounds,64,6.7451,1.4884,6.8163,2500,833449,4611768320,96,32,721,208
32_preview_compounds,65,8.0197,1.5889,7.9299,2527,1190933,4611768320,96,32,721,208
32_preview_compounds,66,7.0680,1.5479,7.0676,2500,833449,4611768320,96,32,721,208
32_preview_compounds,67,6.0013,1.7683,5.7203,2500,833449,4611768320,96,32,721,208
32_preview_compounds,68,6.9472,1.6036,7.1186,2500,833449,4611768320,96,32,721,208
32_preview_compounds,69,6.5512,1.6114,6.6637,2527,1190949,4611768320,96,32,721,208
32_preview_compounds,70,7.1254,1.6652,6.9600,2500,833449,4611768320,96,32,721,208
32_preview_compounds,71,8.2521,1.5782,8.2285,2500,833449,4611768320,96,32,721,208
32_preview_compounds,72,5.8230,1.6761,5.9895,2527,1190933,4611768320,96,32,721,208
32_preview_compounds,73,7.1145,1.6743,6.8146,2500,833449,4611768320,96,32,721,208
32_preview_compounds,74,7.4624,1.7167,7.6474,2500,833449,4611768320,96,32,721,208
32_preview_compounds,75,6.7971,1.5639,6.9613,2500,833449,4611772416,96,32,721,208
32_preview_compounds,76,6.0848,1.5583,5.9043,2527,1190949,4611772416,96,32,721,208
32_preview_compounds,77,6.7334,1.6242,6.7503,2500,833449,4611772416,96,32,721,208
32_preview_compounds,78,7.0539,1.4906,7.1871,2500,833449,4611772416,96,32,721,208
32_preview_compounds,79,8.2605,1.6179,8.0164,2527,1190933,4611772416,96,32,721,208
