stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
8,81,5.9900,2.1210,6.3970,240,4685742080,77,1,3,3
8,82,5.3869,1.5783,5.5941,241,4685742080,77,1,3,3
8,83,6.5424,1.5554,6.0446,254,4685742080,77,1,3,3
8,84,6.8901,2.1892,7.0489,240,4685742080,77,1,3,3
8,85,5.0251,1.6044,5.2427,241,4685742080,77,1,3,3
8,86,6.6415,1.6986,6.2159,302,4685742080,77,1,3,3
8,87,6.0728,2.0870,6.0577,240,4685742080,77,1,3,3
8,88,5.6646,1.8489,6.1062,240,4685742080,77,1,3,3
8,89,5.9900,1.6287,5.6388,254,4685742080,77,1,3,3
8,90,7.5219,1.9386,7.0554,240,4685742080,77,1,3,3
8,91,4.3116,2.3415,5.0826,240,4685742080,77,1,3,3
8,92,5.8794,1.5578,5.8996,302,4685742080,77,1,3,3
8,93,5.8960,1.4539,5.9138,240,4685742080,77,1,3,3
8,94,6.3302,1.6916,6.1455,240,4685742080,77,1,3,3
8,95,5.6683,1.5225,5.8414,254,4685742080,77,1,3,3
8,96,6.1711,1.3815,6.2526,240,4685742080,77,1,3,3
8,97,6.3903,1.4771,6.2134,240,4685742080,77,1,3,3
8,98,5.3299,1.5201,5.4162,302,4685742080,77,1,3,3
8,99,6.0214,1.4653,6.0110,240,4685742080,77,1,3,3
8,100,6.3503,1.6343,6.0412,241,4685742080,77,1,3,3
8,101,5.9147,1.6265,5.9863,254,4685742080,77,1,3,3
8,102,5.6482,1.5837,5.8722,240,4685742080,77,1,3,3
8,103,5.7149,1.4786,5.6389,240,4685742080,77,1,3,3
8,104,6.1160,1.4682,6.1044,302,4685742080,77,1,3,3
8,105,6.0677,1.5992,5.8920,240,4685742080,77,1,3,3
8,106,5.7685,1.6559,5.7345,241,4685742080,77,1,3,3
8,107,6.6119,1.7660,6.5322,254,4685742080,77,1,3,3
8,108,5.8066,1.5840,5.9675,240,4685742080,77,1,3,3
8,109,5.1776,1.4345,5.3524,240,4685742080,77,1,3,3
8,110,6.2332,1.4901,6.0462,302,4685742080,77,1,3,3
8,111,6.1464,1.6892,6.0388,240,4685742080,77,1,3,3
8,112,5.9563,1.6671,5.9076,240,4685742080,77,1,3,3
