stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
8,1,4.8231,1.8794,4.6033,241,4619157504,77,1,3,3
8,2,4.4901,1.9070,5.1943,248,4619157504,77,1,3,3
8,3,4.8569,1.3581,4.7531,241,4619157504,77,1,3,3
8,4,5.7296,1.5368,5.5610,245,4619157504,77,1,3,3
8,5,4.4346,1.4876,4.5073,241,4619157504,77,1,3,3
8,6,4.9506,1.4600,5.0555,294,4619157504,77,1,3,3
8,7,5.7358,1.5010,5.0663,242,4619157504,77,1,3,3
8,8,5.3760,2.1208,5.0143,248,4619157504,77,1,3,3
8,9,3.6675,2.2975,4.6778,248,4619157504,77,1,3,3
8,10,4.7810,1.3747,4.7366,247,4619157504,77,1,3,3
8,11,5.4064,1.4420,5.3708,244,4619157504,77,1,3,3
8,12,5.2685,1.5062,5.0952,242,4619157504,77,1,3,3
8,13,4.6824,1.4690,4.7815,298,4619157504,77,1,3,3
8,14,4.7443,1.3949,4.8161,241,4619157504,77,1,3,3
8,15,5.5383,1.5761,4.9729,237,4619157504,77,1,3,3
8,16,5.0840,2.0649,5.3897,237,4619157504,77,1,3,3
8,17,4.3092,1.5603,4.4453,247,4619157504,77,1,3,3
8,18,5.4650,1.5717,5.2828,244,4619157504,77,1,3,3
8,19,4.6110,1.4592,4.8128,241,4619157504,77,1,3,3
8,20,5.3492,1.5499,5.1106,298,4619157504,77,1,3,3
8,21,4.5830,1.5069,4.7737,247,4619157504,77,1,3,3
8,22,5.4800,1.5140,5.0039,248,4619157504,77,1,3,3
8,23,4.1568,1.7679,4.7264,241,4619157504,77,1,3,3
8,24,5.7684,1.6756,5.3354,245,4619157504,77,1,3,3
8,25,5.0527,1.4604,5.0671,242,4619157504,77,1,3,3
8,26,4.8153,1.7881,5.1038,266,4619157504,77,1,3,3
8,27,4.5393,1.3795,4.5532,265,4619157504,77,1,3,3
8,28,6.2882,1.6299,5.5556,248,4619157504,77,1,3,3
8,29,5.2348,1.9707,4.8621,241,4619157504,77,1,3,3
8,30,3.5696,2.6600,4.4654,241,4619157504,77,1,3,3
8,31,5.8081,1.6306,5.2170,247,4619157504,77,1,3,3
8,32,4.8683,2.2003,5.3991,287,4619157504,77,1,3,3
8,33,5.1330,1.6007,5.2323,244,4619157504,77,1,3,3
8,34,4.2329,1.6265,3.8608,244,4619157504,77,1,3,3
8,35,4.1944,1.7841,4.7313,241,4619157504,77,1,3,3
8,36,5.3591,1.4048,5.1373,248,4619157504,77,1,3,3
8,37,5.0546,1.7041,4.8906,241,4619157504,77,1,3,3
8,38,5.8413,2.1340,5.2348,248,4619157504,77,1,3,3
8,39,4.4309,1.9202,4.8338,248,4619157504,77,1,3,3
8,40,4.7124,1.8002,5.1085,298,4619157504,77,1,3,3
8,41,5.3646,1.5720,4.8212,240,4619157504,77,1,3,3
8,42,4.4501,2.0126,4.7929,240,4619157504,77,1,3,3
8,43,4.7815,1.7916,4.7101,247,4619157504,77,1,3,3
8,44,5.1289,1.9790,5.2212,242,4619157504,77,1,3,3
8,45,4.8994,1.5373,5.0334,244,4619157504,77,1,3,3
8,46,4.7113,1.5284,4.6703,241,4619157504,77,1,3,3
8,47,5.1925,1.4999,5.1266,299,4619157504,77,1,3,3
8,48,6.5469,1.6768,6.1165,248,4619157504,77,1,3,3
8,49,3.4727,1.9195,4.1015,248,4619157504,77,1,3,3
8,50,5.0143,1.3076,4.5664,242,4619157504,77,1,3,3
8,51,5.1945,2.0801,5.0803,242,4619157504,77,1,3,3
8,52,5.3294,1.9965,5.5270,269,4619157504,77,1,3,3
8,53,5.2339,1.7180,4.7838,267,4619157504,77,1,3,3
8,54,4.7514,2.1154,4.8686,241,4619157504,77,1,3,3
8,55,4.2985,2.1330,4.5558,241,4619157504,77,1,3,3
8,56,5.6869,1.4975,5.7778,241,4619157504,77,1,3,3
8,57,4.1047,1.6411,4.1692,241,4619157504,77,1,3,3
8,58,5.3674,1.4646,5.4609,241,4619157504,77,1,3,3
8,59,4.6798,1.4557,4.6688,244,4619157504,77,1,3,3
8,60,5.3433,1.5558,4.8557,256,4619157504,77,1,3,3
